"date","Pa","Rn","Tavg","Tmax","Tmin","U2","q","PET"
1979-01-01,94.7825,-32.6365823745728,-16.9772323608398,-15.8500122070312,-23.15,3.09604256681652,0.000910999995539896,-0.0789461191072139
1979-01-02,93.91,-22.8403148651123,-15.1377395629883,-13.2500061035156,-18.8499969482422,2.69706418068927,0.00108950000139885,-0.0428639853262356
1979-01-03,94.6175,-40.3619983196259,-25.8785003662109,-11.15,-33.8499969482422,2.44169833529954,0.000439749994256999,-0.101737831592961
1979-01-04,95.0675,-49.9982676506042,-30.838735961914,-25.4500030517578,-36.0499938964844,1.21675195867293,0.000229250003030756,-0.0722659668346283
1979-01-05,93.5,-21.4886717796326,-27.2404922485351,-25.5499938964844,-34.8499969482422,1.98641526991455,0.000326499997754581,0.00832839286567755
1979-01-06,93.155,-31.2930879592896,-31.8152336120605,-26.5499938964844,-36.8499969482422,1.56140369620184,0.000218000001041219,-0.0273878789555541
1979-01-07,93.805,-24.2757544517517,-32.4729904174804,-30.4500030517578,-40.65,2.0126947977383,0.000193000003491761,0.00106317797654008
1979-01-08,95.5625,-39.6145186424255,-37.7832397460937,-28.2500061035156,-44.65,1.14338329179777,0.000130250001348031,-0.038202784206918
1979-01-09,96.235,-43.8588266372681,-35.6044868469238,-29.8499969482422,-43.8499969482422,1.61996217206783,0.000138750001497101,-0.0339757214549641
1979-01-10,96.4325,-43.3456931114197,-32.5520004272461,-30.15,-40.9500030517578,2.48711805994539,0.000183500000275671,-0.0269148537465931
1979-01-11,96.0725,-48.7711043357849,-28.3247322082519,-26.9500030517578,-41.8499969482422,3.80553157188919,0.000277250001090579,-0.0245588243837428
1979-01-12,95.6025,-18.7249345779419,-23.8652366638183,-21.8499969482422,-27.65,3.74363755295567,0.000446499994723126,0.0603288903247231
1979-01-13,95.18,-19.5072684288025,-20.5052436828613,-19.15,-27.7500061035156,2.96762023150225,0.000624249994871207,0.0361241072791203
1979-01-14,94.8525,-16.8312292098999,-20.0477317810058,-17.4500030517578,-23.7500061035156,2.75402385648174,0.000668500011670403,0.0316350416907296
1979-01-15,94.7425,-27.0688920021057,-24.1527351379394,-18.5499938964844,-35.5499938964844,1.6333819868302,0.000470999999379274,-0.0436127130802899
1979-01-16,94.8125,-0.503337383270264,-20.7517341613769,-18.3499969482422,-23.7500061035156,1.73648000319886,0.000627250003162771,0.0856661515762762
1979-01-17,94.82,-16.5778794288635,-26.5289863586426,-21.65,-33.15,1.77479356240363,0.000372750011592871,0.002375937147224
1979-01-18,94.875,-44.0457286834717,-27.9807418823242,-22.4500030517578,-31.4500030517578,2.10328224386442,0.000316750007186783,-0.0673034641659377
1979-01-19,94.8525,-45.8250341415405,-29.5027412414551,-23.9500030517578,-37.0499938964844,2.01364246649767,0.000268999996478669,-0.0624057115754681
1979-01-20,94.7525,-49.1301612854004,-29.843489074707,-24.5499938964844,-33.7500061035156,2.12593100751385,0.000259749998804182,-0.0670777640439248
1979-01-21,94.4125,-36.8268737792969,-29.8929847717285,-24.7500061035156,-34.15,1.70936825899656,0.000261250002949964,-0.043437702862018
1979-01-22,94.64,-26.5783519744873,-30.1992324829101,-26.15,-36.5499938964844,1.51038599429097,0.000243999998929212,-0.0141011650757436
1979-01-23,94.675,-27.6421585083008,-27.2952407836914,-21.0499938964844,-37.4500030517578,1.49729084737921,0.000375500005247886,-0.0535458613457595
1979-01-24,95.015,-14.1560773849487,-29.215242767334,-21.4500030517578,-36.8499969482422,0.989538254781666,0.000297749997116625,-0.00694630190166563
1979-01-25,95.1425,-30.5266208648682,-29.68173828125,-24.2500061035156,-35.0499938964844,1.82641725740118,0.000264249996689614,-0.025571228423137
1979-01-26,95.7125,-46.9709272384644,-28.3024810791015,-21.3499969482422,-36.3499969482422,2.41133296685599,0.000307250000332715,-0.0705592390536563
1979-01-27,96.6625,-40.2915003690869,-31.3522323608398,-24.15,-36.3499969482422,1.8785578189774,0.000225499999942258,-0.0456570895248051
1979-01-28,97.3925,-30.8122659511864,-35.8617500305176,-25.3499969482422,-42.15,1.37988398096404,0.000154250001287437,-0.0288408148419723
1979-01-29,97.27,-24.2779819145799,-37.9994873046875,-27.7500061035156,-44.9500030517578,1.28393725185294,0.000123499997243925,-0.0161867238751888
1979-01-30,96.53,-14.5212266407907,-40.5949882507324,-29.65,-47.4500030517578,1.0265464908182,9.77500003500609e-05,-0.00623669119002608
1979-01-31,95.9825,-24.299537293613,-36.3404945373535,-31.15,-45.15,1.39185514321263,0.000126249999084393,-0.00422095553062808
